,陳情內容,回覆單位,問題類別,張貼日期,修改日期,人氣指數,答覆內容
11,海葬應如何申請？,高雄市政府民政局,民政區政,20130103,20161215,5001,向殯葬管理處墓政管理課申請，電話381-1592或381-6316轉209、210，將有專人為您服務。
12,申請低收入戶，子女是否應列入計算？,高雄市政府社會局,社會,20110121,20161219,4901,"一、依社會救助法第4條規定，低收入戶係指家庭總收入平均分配全家人口，每人每月在最低生活費以下(106年每人每月不超過12,941元)，且家庭財產未超過中央、直轄市主管機關公告之當年度一定金額者。 二、依社會救助法第5條第1項規定，所稱「家庭」應計算人口範圍，除申請人外，包括： （一）配偶。 （二）一親等之直系血親。　　 （三）同一戶籍或共同生活之其他直系血親 。（四）前三款以外，認列綜合所得稅扶養親屬免稅額之納稅義務人。"
13,請問高雄寶貝育兒袋的發放對象？內容？如何申領？,高雄市政府社會局,社會,20110111,20161215,4730,一、發放對象：父親或母親設籍本市，且其新生兒於高雄市完成出生登記。二、育兒袋內容）（一）二用背袋（二）育兒資源手冊（三）嬰兒包巾（四）動物園免費遊園卷三、如何申領：新生兒於高雄市戶政事務所完成出生登記與生育津貼時同時請領。承辦單位：社會局兒福中心電話：385-0535轉209
14,請問如何申請生育津貼？,高雄市政府社會局,社會,20100228,20161215,4549,"一、申請資格：於本市辦理出生登記或初設戶籍之同一父或母所生新生兒，且符合下列情形之一者：(一)新生兒出生當日，其父或母已設籍並實際居住本市滿一年。(二)未設籍本市或設籍未滿一年之婦女，其新生兒經生父認領登記，且生父於新生兒出生當日已設籍並實際居住本市滿一年。前項情形，新生兒之父或母因死亡、行蹤不明或受監護宣告，致無法提出申請者，得由同居之最近親屬或其監護人提出申請。二、上述設籍時間之計算，以新生兒父或母最後遷入本市之日起算至新生兒出生之日止。三、申辦窗口：凡符合申請資格之市民，由各戶政事務所於受理新生兒出生登記時，發放生育津貼，即生育第1、2名子女當場發放6,000元；第3名子女(含)以上每名發放4萬6,000元，惟當場發放1萬元，另3萬6,000元則由戶所於次月月初報送社會局申請，由社會局於次月月底撥款至市民帳戶。四、承辦單位：社會局兒少科 電話：3368333轉2461"
15,請問「管理委員會有無斷水斷電、鎖門、禁止住戶進住之權利？」,高雄市政府工務局,工務,20110107,20170526,4549,有關對拒繳管理費或行為違反規約之住戶，通常管理委員會常自己訂下規定；如：更換電腦卡鎖、禁止住戶進入或斷水、斷電禁止使用等手段，但公寓大廈管理條例並未賦予管理委員會有禁止住戶使用其所有權之權利，故擅自阻止住戶進入及斷水斷電行為，可能觸犯刑法上妨害他人行使權利強制之罪名。承辦單位：建築管理處第六課電話：07-3368333轉2426
16,請問如何申購市有畸零地？,高雄市政府財政局,財政,20110114,20110124,4509,請先至工務局建築管理處申請畸零地合併使用證明書。俟拿到畸零地合併使用證明書後並備妥相關資料後至本局辦理申購畸零地。須檢附資料如下：1.土地登記簿謄本(自有地)2.地籍圖謄本(自有地)3.土地使用分區證明書(自有地)4.畸零地合併使用證明承辦單位：非公用財產管理科
17,請問招牌要如何申請？,高雄市政府工務局,工務,20110107,20170526,4398,一、依招牌廣告及樹立廣告管法第五條及第本市廣告物管理自治條例第4條規定，應備具申請書、檢同設計圖說、位置圖及現況相片、設置處所之所有權及使用權證明，向工務局建築管理處第七課掛號。二、申請書及有之法令規定，可於本處之網路下載及查詢，本處之網址為：http://build.kcg.gov.tw/承辦單位：建築管理處第七課電話：3368333-2431
18,失業給付如何申請？,高雄市政府勞工局,勞工,20100228,20170511,4299,符合條件之申請人，應檢附下列文件，親自向公立就業服務機構辦理求職登記，申請失業認定及接受就業諮詢。 1.失業（再）認定、失業給付申請書及給付收據。 2.離職證明書或定期契約證明文件。（1）原投保單位之離職證明書（須載明足供認定非自願離職之事由，可至勞保局網頁下載）或定期契約證明文件正本及影本各一份(正本驗畢歸還)。（2）若無法取得離職證明書，有以下情形者，得向地方主管機關（高雄市政府勞工局就業安全科）申請發給：      1.雇主資遣員工時，已依就業服務法第33條規定，列冊向當地主管機關通報。      2.關廠、歇業或雇主行蹤不明時，經地方主管機關查明屬實。      3.申請人與原雇主間因離職事由發生勞資爭議，經調解有案。3.國民身分證或其他身分證明文件影本。 4.被保險人本人名義之國內金融機構存摺影本。 5.身心障礙者，應檢附社政主管機關核發之身心障礙證明。 6.有扶養眷屬者，應檢附下列證明文件： (1) 受扶養眷屬之戶口名簿影本或其他身分證明文件影本。 (2) 受扶養之子女為身心障礙者，應檢附社政主管機關核發之身心障礙證明。 　　公立就業服務機構為辦理推介就業及安排職業訓練，得要求申請人提供下列文件：1.最高學歷及經歷證書影本。 2.專門職業及技術人員證照或執業執照影本。 3.曾接受職業訓練之結訓證書影本。 公立就業服務機構於申請之日起14日內無法推介就業或安排職業訓練時，公立就業服務機構應於翌日完成失業認定，並轉請保險人核發失業給付。繼續請領失業給付者，每個月應親自前往公立就業服務機構接受失業再認定。
19,請問申請身心障礙者生活補助資格為何？申請時須檢具哪些資料？,高雄市政府社會局,社會,20110121,20161219,4275,"一、申請身心障礙者生活補助資格如下： （一）設籍並實際居住本市領有本市身心障礙手冊或身心障礙證明之市民。 （二）最近一年居住國內超過183天。（三）符合下列規定之一： 1. 低收入戶。 2. 中低收入戶。 3. 家庭總收入及財產符合下列標準： （1）家庭總收入平均分配全家人口之金額，未達當年度每人每月最低生活費(106年為12,941元)2.5倍(32,353元)，且未超過台灣地區平均每人每月消費支出（106年為20,421元）1.5倍(30,602元)。 （2）全家人口之動產（含投資）未超過一人時為新臺幣200萬元，每增加一人，增加新臺幣25萬元。 （3）全家人口之土地及房屋價值合計不得超過650萬元。(四)未接受政府補助收容安置。(五)未重複領有政府提供之其他補助或津貼。但低收入戶生活扶助及榮民就養金，不在此限。 二、申請時須檢具下列資料，至所在地區公所社會（經）課申請： （一）申請調查表(至區公所填寫)。  （二）申請人身分證、印章、郵局存簿封面影本。（三）其他證明：醫院診斷證明書、學生證等。承辦單位：戶籍所在地區公所社會（經）課 洽詢電話：社會救助科 電話：3368333轉2062；網址：socbu.kcg.gov.tw"
20,消費爭議如何申訴？,高雄市政府秘書處,消保,20110128,20130118,4255,有關申訴方式，可至行政院消費者保護會網站（http://www.cpc.ey.gov.tw/），點選「線上申訴調解」，再點選「線上申請」，再點按「提出申訴」，直接透過網路提出申訴；或者，也可用一張A4大小的白紙，書寫申訴人之姓名、地址、電話，以及業者之名稱、地址、電話，還有申訴問題的內容，之後傳真至：3312813，市政府消費者服務中心收即可。如有任何消費爭議問題，也可撥打 1950 專線進行諮詢。
21,民眾遇有糾紛，應如何申請調解？,高雄市政府民政局,民政區政,20110127,20110127,4139,一、民眾之間倘發生民事或刑事告訴乃論罪之糾紛時，可向本市各區公所調解委員會聲請調解，相關表件可向各區公所網站下載或洽各區公所民政課調解秘書索取。二、依據鄉鎮市調解條例第十三條規定：「聲請調解事件之管轄：一、兩造均在同一鄉、鎮、市居住者，由該鄉、鎮、市調解委員會調解。二、兩造不同一鄉、鎮、市居住者，民事事件由他造住、居所、營業所、事務所所在地，刑事事件由他造住、居所所在地或犯罪地之鄉、鎮、市調解委員會調解。三、經兩造同意，並經接受聲請之鄉、鎮、市調解委員會同意者，得由該鄉、鎮、市調解委員會調解，不受前二款限制」例如：三民區居民與苓雅區居民在新興區發生車禍，那麼三民區居民車損要求民事賠償，則向苓雅區調解委員會聲請調解，如果三民區居民受傷同時車損要求賠償，則可以向苓雅或新興區調解委員會擇一聲請調解。
22,大樓裡的住戶發出噪音時，該如何處理？,高雄市政府工務局,工務,20151130,20151130,4104,依據內政部97.1.8內授營建管字第0970800113號函釋略以：「依行政院環境保護署九十六年十二月三十一日環署空字第0960097205號函示：「二、有關住戶發生喧囂之行為時，若該行為違反噪音管制法第六條規定致妨害他人生活環境安寧，或製造噪音違反同法第七條規定，超過工廠（場）、娛樂場所、營業場所、營建工程、擴音設施及其他經公告之場所、工程及設施之噪音管制標準，則應以噪音管制法相關規定處理。三、另依據噪音管制法第四條規定，製造不具持續性或不易量測而足以妨害他人生活安寧之聲音者，由警察機關依有關法令處理之。」，故有關上開條例第十六條第一項所稱喧囂、振動之噪音管制標準，本條例未有明文，按條例第一條第二項規定，適用噪音管制法等其他相關法令規定辦理」承辦單位：建築管理處第六課電話：07-3368333轉2426
23,請問申請中低收入老人生活津貼補助資格為何?申請時須檢具哪些資料?,高雄市政府社會局,社會,20110121,20161219,4030,"一、補助對象 1.年滿65歲設籍並實際居住本市，且最近一年居住國內超過183日之市民。 2.未接受政府其他生活補助亦未經收容安置者。 3.家庭總收入平均每人每月未超過當年度最低生活費（106年度為12,941元）之2.5倍，且未超過台灣地區平均每人每月消費性支出(106年度為20,421元)之1.5倍(30,632元)。 4.全家人口存款、投資、有價證券未超過一人時為新臺幣250萬元，家庭應計人口每增加一人增加新台幣25萬元 5.全家人口之土地及房屋價值合計未超過650萬元。二、福利內容 1.未達最低生活費標準1.5倍(19,412元)者，每月核發7,463元 2.達最低生活費標準1.5倍(19,412元)且未超過台灣地區平均每人每月消費支出1.5倍(30,632元)，每人每月核發3,731元 。 三、應備文件 1.申請調查表(至區公所填寫)。 2.申請人身分證、私章、郵局存簿封面影本。3.其他證明：如醫院診斷證明書、學生證、身心障礙手冊(證明)等。 四、服務單位及電話 社會局社會救助科：3373372~4 戶籍地區公所 社會(經)課"
24,身心障礙者醫療費用及醫療輔具補助如何申請?補助項目為何?,高雄市政府衛生局,衛生,20130305,20141023,3956,本市身心障礙者醫療費用及醫療輔具補助自102年1月起由衛生局辦理，其申請流程可逕向衛生所提出申請，醫療輔具補助項目共分為9大項而醫療費用補助則分成3大項。細節內容一、申請條件:限身心障礙者身份且居家照護者申請。二、身心障礙者醫療費用及醫療輔具補助申請流程：(一)至身心障礙鑑定醫院或其他公立醫院取得診斷證明書(及評估報告書)(二)到衛生所提出醫療費用及醫療輔具申請，經衛生局審核許可後購置所申請之醫療輔具。(三)檢具存摺封面影本及發票或收據正本、保固書至衛生所申請請款事宜，經衛生局審核許可後逕撥所附帳戶中。三、身心障礙者醫療費用及醫療輔具補助項目：(一)身心障礙者醫療輔具補助項目：  1.僅需鑑定醫院開立之診斷證明書：    電動拍痰器、抽痰機、化痰機、血氧偵測儀、UPS不斷電系統及矽膠片2.需鑑定醫院開立之診斷證明書及醫療輔具評估報告書：  單、雙相陽壓呼吸輔助器（限胸腔科）、氧氣製造機及壓力衣(二)身心障礙者醫療費用補助項目：  1.人工電子耳植入手術費用  2.開具診斷證明書費用  3.開具醫療輔具評估報告費用(三)有關於申請身心障礙者醫療費用及醫療輔具補助可進入高雄市政府衛生局中ICF專區中獲得相關資訊。
25,請問政府拆除廣告物的標準為何？,高雄市政府工務局,工務,20110107,20170526,3937,依高雄市廣告物管理自治條第十三、十四條規定，廣告物不得違反下列之規定：一、正面式招牌廣告之設置應符合下列規定：  (一)、縱長不得超過一百二十公分。  (二)、突出建築物牆面不得超過五十公分。  (三)、上端自地面起算不得超過十五公尺。  (四)、下端距地面淨高不得低於二樓樑底。  每一營利事業設置之正面式招牌廣告，以一處為限。二、側懸式招牌廣告之設置應符合下列規定：  (一)、縱長不得超過一百八十公分。  (二)、突出建築物牆面不得超過一百二十公分。  (三)、厚度不得超過六十公分。  (四)、上端自地面起算不得超過高度十五公尺。  (五)、下端距地面淨高，除位於車道上方者，其招牌下端距地面淨高不得低於四點六公尺外，其餘不得低於三點五公尺。  每一營利事業設置之側懸式招牌廣告，以一處為限。三、違反前開規定者，經本局函文要求改善而未改善，必要時本局予以拆除。承辦單位：建築管理處第七課電話：3368333-2431
26,請問目前高雄市有哪幾家身心障礙鑑定醫院？有聯繫的窗口嗎？,高雄市政府衛生局,衛生,20110125,20140115,3895,目前本市身心障礙鑑定醫院共計25家，相關醫院之聯繫電話及聯絡人員如下：1.高雄市立民生醫院，電話（07）751-1131分機2177林小姐2.高雄市立聯合醫院，電話（07）555-2565分機2219何先生3.高雄市立旗津醫院，電話（07）571-2891分機3201徐小姐4.高雄市立凱旋醫院，電話（07）751-3171分機2363(社工室)劉先生5.高雄市立小港醫院，電話（07）803-6783分機3157病服室-張小姐6.行政院國軍退除役官兵輔導委員會高雄榮民總醫院，電話（07）346-8215(社工室)張小姐7.財團法人私立高雄醫學大學附設中和紀念醫院，電話（07）312-1101分機6416(病友服務室)李小姐8.國軍高雄總醫院，電話（07）749-5328朱小姐9.國軍左營總醫院，電話（07）587-9651醫勤室王小姐10.阮綜合醫療社團法人阮綜合醫院，電話（07）333-8476(社工)李小姐11.靜和醫院，電話（07）222-9612分機34(社工)李先生12.財團法人天主教聖功醫院，電話（07）223-8153分機2104劉小姐13.健仁醫院，電話（07）351-7166分機1216(社工)林小姐14.高雄市立大同醫院，電話（07）2911101-8744陳小姐 15.高雄市立鳳山醫院(委託長庚醫療財團法人經營) ，電話07-7418151分機3301陳小姐16.高雄市岡山醫院(委託秀傳醫療社團法人經營)，電話07-6222131分機51196莊小姐17.國軍岡山醫院附設民眾診療服務處，電話07-6250919分機169趙小姐18.行政院衛生署旗山醫院，電話07-6613811分機2114陳小姐19.長庚醫療財團法人高雄長庚紀念醫院，電話07-7317123分機2223高小姐20.樂安醫院，電話07-6256791分機275周小姐21.財團法人台灣省私立高雄仁愛之家附設慈惠醫院，電話07-7030315分機3149趙先生22.靜和醫院燕巢分院，電話07-6156555分機141余小姐23.建佑醫院，電話07-6437901分機904黃小姐24.義大醫療財團法人醫院，電話07-6150011分機1351張小姐25.惠德醫院，電話07-8126000分機1707甘小姐
27,天然災害停止上班及上課，居住地與上班地點不同，如何認定？,高雄市政府人事處,人事,20060523,20140106,3836,「天然災害停止上班及上課作業Q&A（問答資料）」規定略以：一、公教員工居住地區之機關學校經權責機關決定停止上班上課，而其服務機關所在地區仍照常上班時，各該公教員工比照所居住地區之機關學校給予停止上班登記：其服務機關所在地已決定停止上班上課，而住所地照常上班上課者，亦一律停止上班上課以停班（課）登記。二、公教員工居住地區與服務機關所在地區均未經宣布停止上班上課，惟依平常上班必經地區如經宣布停止上班上課，各該公教員工由服務機關、學校核實給予停班(課)登記。
28,如果大樓的區分所有權人會議程序有問題，行政機關是否可以撤銷？,高雄市政府工務局,工務,20121224,20170526,3835,依據內政部營建署92年3月13日營署建管字第0920010484號函釋略以：「…所詢公寓大廈區分所有權人會議之開議，未達區分所有權人法定人數之出席時，行政機關得否據以作成該次會議『自屬無效』之處分疑義乙節，查公寓大廈管理條例暨施行細則尚無相關規定。」，依上開函釋說明，若該次會議有所爭議，應再召開區分所有權人會議或逕循司法途徑解決。承辦單位：建築管理處第六課電話：07-3368333轉2426
29,本市有線電視對低收入戶收視費用有何優惠措施？,高雄市政府新聞局,新聞,20100308,20160624,3807,回覆單位：新聞局新聞行政科 3314990.5371629答覆內容：有關本市有線電視（第四台）播送系統業者，對本府社會局核定低收入戶之收視費用優惠措施，有線廣播電視法與其施行細則對此並未有相關規定，目前本市系統業者對領有政府機關核發證明之收視戶，均有優惠方式，請逕洽系統業者辦理。申請流程：一、先到轄區區公所社會課申請低收入戶證明。二、攜區公所開立之『低收入戶當年度開的證明』、申請人身分證至有線電視公司申辦。優惠內容：慶聯.港都每月每戶83元。鳳信每月每戶85元。南國每月每戶91元。新高雄每月每戶75元。優惠規定：一、裝機地址、身分證上之地址(戶籍地址)、低收入戶地址、申請人姓名需相同。二、優待期限：以區公所所開的低收入戶期限為主。(例：半年或一年)，若隔年仍具低收入戶身份還可繼續申請上述優惠。三、本市有線電視公司：慶聯有線電視、港都有線電視、鳳信有線電視、南國有線電視、新高雄有線電視。所需證件：低收入戶證明(需是區公所列冊核定符合低收入戶身分者)、身分證、印章。
30,申請塔位、墓地、海葬、樹灑葬、起掘證明..等如何處理?,高雄市政府民政局,民政區政,20130103,20161215,3756,向殯葬管理處墓政管理課申請，電話381-1592或381-6316轉209、210，將有專人為您服務。
31,哪些事項可以遊說？,高雄市政府政風處,政風,20110125,20110125,3755,遊說的事項限於「法令」、「政策」或「議案」的形成、制定、通過、變更或廢止，也就是以政治性或決策性事項為範圍。在這個概念下，屬於個案處分性質的事項，則不在上述範圍內。
